Sl. No.,State/UT,Pure Electric Buses,Strong Hybrid Electric Buses,Total
1,Andaman and Nicobar Islands,40.0,0.0,40
2,Andhra Pradesh,132.0,34.0,166
3,Assam,233.0,0.0,233
4,Bihar,27.0,3.0,30
5,Chandigarh,81.0,0.0,81
6,Chhattisgarh,4.0,65.0,69
7,Delhi,2543.0,0.0,2543
8,Goa,153.0,0.0,153
9,Gujarat,896.0,2.0,898
10,Haryana,28.0,4.0,32
11,Himachal Pradesh,123.0,0.0,123
12,Jammu and Kashmir,243.0,0.0,243
13,Jharkhand,7.0,16.0,23
14,Karnataka,1450.0,183.0,1633
15,Kerala,190.0,0.0,190
16,Ladakh,19.0,0.0,19
17,Madhya Pradesh,164.0,42.0,206
18,Maharashtra,2448.0,9.0,2457
19,Manipur,1.0,0.0,1
20,Mizoram,1.0,0.0,1
21,Odisha,173.0,29.0,202
22,Puducherry,22.0,0.0,22
23,Punjab,17.0,2.0,19
24,Rajasthan,19.0,4.0,23
25,Sikkim,0.0,2.0,2
26,Tamil Nadu,153.0,0.0,153
27,Dadra and Nagar Haveli and Daman and Diu,25.0,0.0,25
28,Uttarakhand,40.0,2.0,42
29,Uttar Pradesh,769.0,24.0,793
30,West Bengal,189.0,66.0,255
